Month,kWh_used,cost_GBP,solar_kWh,est_cost_saving_GBP
January 2025,592.048,155.17,56,13.07
February 2025,530.954,139.27,92,21.47
March 2025,563.547,148.50,188,43.88
April 2025,530.339,140.22,289,67.45
May 2025,478.146,128.59,345,80.52
June 2025,431.902,117.25,368,85.89
July 2025,540.114,142.97,367,85.65
August 2025,544.116,153.44,303,77.39
September 2025,574.220,160.66,223,56.96
October 2025,673.365,186.47,134,34.22
November 2025,699.268,192.60,69,17.62
December 2025,808.965,221.08,44,11.24
Total (2025),6966.984,1886.22,2478,595.34
